Category,Field,Finding,Source URL,Source Reliability (A-F),Date Verified,Analyst,Notes
Identity,Legal Entity Name,[e.g. Example Technologies Inc.],[Registry URL],[A-F],[Date],[Name],[Notes]
Identity,Registration Number,[Entity/registration ID],[Registry URL],[A-F],[Date],[Name],[Notes]
Identity,Jurisdiction of Incorporation,[State/country],[Registry URL],[A-F],[Date],[Name],[Notes]
Identity,Registration Date,[Date],[Registry URL],[A-F],[Date],[Name],[Notes]
Identity,Registered Address,[Address],[Registry URL],[A-F],[Date],[Name],[Notes]
Identity,Status,[Active/Dissolved/Suspended],[Registry URL],[A-F],[Date],[Name],[Notes]
Structure,Parent Company,[Name, if applicable],[Source],[A-F],[Date],[Name],[Notes]
Structure,Subsidiaries,[List],[Source],[A-F],[Date],[Name],[Notes]
Structure,Officers/Directors,[Names and roles],[Registry/filing URL],[A-F],[Date],[Name],[Notes]
Structure,Beneficial Owners,[Names, if disclosed],[Registry/filing URL],[A-F],[Date],[Name],[Notes]
Financial,Public/Private,[Public/Private],[Source],[A-F],[Date],[Name],[Notes]
Financial,Latest Revenue (if disclosed),[Figure and period],[Filing/press release URL],[A-F],[Date],[Name],[Notes]
Financial,Funding Rounds (if applicable),[Round, amount, date, investors],[Crunchbase/PitchBook/press release],[A-F],[Date],[Name],[Notes]
Financial,Key Financial Filings,[Filing type and date],[SEC EDGAR/registry URL],[A-F],[Date],[Name],[Notes]
Operations,Primary Business Activity,[Description],[Company website/filing],[A-F],[Date],[Name],[Notes]
Operations,Estimated Headcount,[Range],[LinkedIn/job postings],[A-F],[Date],[Name],[Notes]
Operations,Key Locations,[List],[Company website/filings],[A-F],[Date],[Name],[Notes]
Operations,Technology Stack Indicators,[List],[Job postings/BuiltWith],[A-F],[Date],[Name],[Notes]
Reputation,Recent News Coverage,[Summary],[News source URL],[A-F],[Date],[Name],[Notes]
Reputation,Regulatory Actions,[Summary, if any],[Regulator URL],[A-F],[Date],[Name],[Notes]
Reputation,Litigation History,[Summary, if any],[Court record URL],[A-F],[Date],[Name],[Notes]
Reputation,Employee Review Themes,[Summary],[Glassdoor/Indeed URL],[A-F],[Date],[Name],[Notes]
